job,education,balance,duration,y
management,tertiary,2143,261,no
technician,secondary,265,348,no
blue-collar,secondary,-7,365,no
technician,secondary,-3,1666,no
technician,secondary,-103,145,no
retired,tertiary,100,528,no
technician,secondary,1205,158,no
management,secondary,282,154,no
services,secondary,91,349,no
admin.,secondary,45,1467,yes
technician,secondary,1270,1389,yes
technician,tertiary,151,190,no
blue-collar,secondary,144,247,no
technician,,56,439,no
services,secondary,41,127,no
blue-collar,secondary,0,143,no
technician,tertiary,47,181,no
blue-collar,secondary,1225,558,no
admin.,tertiary,184,673,yes
retired,primary,434,138,no
admin.,secondary,1151,412,no
management,secondary,1161,717,no
technician,secondary,787,683,no
services,secondary,59,1077,no
retired,primary,235,167,no
management,tertiary,0,562,no
retired,secondary,2127,172,no
blue-collar,secondary,243,291,no
retired,secondary,56,215,no
technician,,205,1419,no
entrepreneur,secondary,294,746,no
technician,secondary,349,127,no
technician,secondary,434,117,no
management,tertiary,742,58,no
management,tertiary,0,562,yes
blue-collar,primary,0,962,no
entrepreneur,secondary,155,118,no
self-employed,secondary,672,164,no
technician,,447,742,no
blue-collar,primary,28,126,no
technician,secondary,1234,205,no
admin.,secondary,353,106,no
admin.,secondary,-358,358,no
blue-collar,,403,241,no
management,secondary,161,224,no
technician,,206,216,no
admin.,secondary,560,198,no
admin.,secondary,12,208,no
admin.,secondary,308,102,no
blue-collar,secondary,1293,652,no
blue-collar,secondary,757,133,no
services,secondary,245,318,no
blue-collar,primary,1927,241,no
technician,secondary,284,483,no
blue-collar,secondary,1660,259,no
unemployed,secondary,0,245,no
blue-collar,primary,55,186,no
management,tertiary,1680,765,no
admin.,secondary,530,149,no
services,secondary,310,144,no
management,tertiary,231,451,no
blue-collar,secondary,270,159,no
blue-collar,secondary,-509,124,no
blue-collar,,1044,43,no
technician,secondary,767,204,no
blue-collar,secondary,0,187,no
retired,secondary,15,80,no
unemployed,secondary,387,918,yes
blue-collar,primary,148,211,no
admin.,secondary,484,128,no
admin.,secondary,0,150,no
self-employed,tertiary,107,146,no
admin.,secondary,46,114,no
self-employed,,935,225,no
admin.,secondary,778,149,no
blue-collar,,170,268,no
blue-collar,secondary,840,310,no
services,secondary,358,390,no
technician,secondary,0,369,no
technician,secondary,-15,341,no
services,secondary,141,262,no
services,secondary,89,174,no
blue-collar,secondary,384,1906,no
technician,tertiary,405,65,no
services,primary,255,285,no
technician,,2106,168,no
management,tertiary,2877,278,no
blue-collar,tertiary,60,389,no
blue-collar,primary,2226,158,no
technician,secondary,109,147,no
technician,secondary,484,703,yes
entrepreneur,tertiary,-184,392,no
services,secondary,1,235,no
student,secondary,209,311,no
admin.,secondary,221,211,no
services,,4,284,no
admin.,secondary,-150,328,no
blue-collar,secondary,140,311,no
self-employed,secondary,1,260,no
management,secondary,783,320,no
services,secondary,105,189,no
management,tertiary,242,221,no
services,secondary,1205,118,no
technician,secondary,368,1597,yes
entrepreneur,tertiary,1631,346,no
technician,,-48,152,no
services,secondary,77,390,no
blue-collar,,401,306,no
services,secondary,0,125,no
admin.,secondary,-497,234,no
blue-collar,primary,369,79,no
admin.,secondary,0,144,no
blue-collar,secondary,0,121,no
retired,secondary,303,593,no
blue-collar,secondary,607,99,no
admin.,secondary,251,178,no
retired,primary,364,631,no
entrepreneur,,209,135,no
management,tertiary,105,314,no
entrepreneur,tertiary,281,206,no
